"No.","Time","Source","Destination","Protocol","Length","Info"
"184","0.711147500","170.114.52.3","192.168.126.132","TCP","60","443  >  40794 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"185","0.711147657","173.194.76.84","192.168.126.132","QUIC","995","Protected Payload (KP0)"
"186","0.711147693","173.194.76.84","192.168.126.132","QUIC","163","Protected Payload (KP0)"
"187","0.711147720","173.194.76.84","192.168.126.132","QUIC","69","Protected Payload (KP0)"
"188","0.711174871","192.168.126.132","170.114.52.3","TCP","54","40794  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"189","0.711883419","192.168.126.132","170.114.52.3","TLSv1.3","1874","Client Hello (SNI=edu-il.zoom.us)"
"190","0.712039768","192.168.126.132","173.194.76.84","QUIC","75","Protected Payload (KP0), DCID=e3fb739accb3c31f"
"191","0.712130900","192.168.126.132","173.194.76.84","QUIC","75","Protected Payload (KP0), DCID=e3fb739accb3c31f"
"192","0.712230725","192.168.126.132","173.194.76.84","QUIC","75","Protected Payload (KP0), DCID=e3fb739accb3c31f"
"193","0.712430252","170.114.52.3","192.168.126.132","TCP","60","443  >  40794 [ACK] Seq=1 Ack=1461 Win=64240 Len=0"
"194","0.712430372","170.114.52.3","192.168.126.132","TCP","60","443  >  40794 [ACK] Seq=1 Ack=1821 Win=64240 Len=0"
"195","0.716152163","142.250.75.68","192.168.126.132","QUIC","1287","Protected Payload (KP0)"
"196","0.716307642","192.168.126.132","142.250.75.68","QUIC","73","Protected Payload (KP0), DCID=e26c13aa31d756cf"
"197","0.723786977","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"198","0.723787301","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"199","0.723787345","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"200","0.723787369","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"201","0.723787392","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"202","0.726526547","192.168.126.132","142.250.75.68","QUIC","73","Protected Payload (KP0), DCID=e26c13aa31d756cf"
"203","0.726617497","192.168.126.132","142.250.75.68","QUIC","73","Protected Payload (KP0), DCID=e26c13aa31d756cf"
"204","0.733731639","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"205","0.733731964","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"206","0.733732004","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"207","0.733732027","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"208","0.733732049","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"209","0.733732070","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"210","0.733732092","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"211","0.733732114","142.250.75.68","192.168.126.132","QUIC","513","Protected Payload (KP0)"
"212","0.733911041","142.250.75.68","192.168.126.132","QUIC","1285","Protected Payload (KP0)"
"213","0.733911328","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"214","0.733978751","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"215","0.733978775","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"216","0.733978807","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"217","0.733978840","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"218","0.733978866","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"219","0.733978889","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"220","0.734572378","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"221","0.734572456","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"222","0.734572495","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"223","0.734572518","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"224","0.734951049","192.168.126.132","142.250.75.68","QUIC","73","Protected Payload (KP0), DCID=e26c13aa31d756cf"
